"Date","DryBulb","RelHum"
"2016-07-03 00:10:00.0",24.4,90
"2016-07-03 00:15:00.0",23.4,90
"2016-07-03 00:20:00.0",23.2,90
"2016-07-03 00:25:00.0",26.2,90
"2016-07-03 00:30:00.0",26.2,90
"2016-07-03 00:35:00.0",24.3,90
"2016-07-03 00:40:00.0",25.4,90
"2016-07-03 00:45:00.0",25.4,90
"2016-07-03 00:50:00.0",25.1,90
"2016-07-03 00:55:00.0",26.1,90
"2016-07-03 01:00:00.0",23.6,90
"2016-07-03 01:05:00.0",26.1,90
"2016-07-03 01:10:00.0",23.2,90
"2016-07-03 01:15:00.0",23.3,90
"2016-07-03 01:20:00.0",23.5,90
"2016-07-03 01:25:00.0",25.3,90
"2016-07-03 01:30:00.0",23.1,90
"2016-07-03 01:35:00.0",23.1,90
"2016-07-03 01:40:00.0",22.7,90
"2016-07-03 01:45:00.0",25.6,90
"2016-07-03 01:50:00.0",24.1,90
"2016-07-03 01:55:00.0",22.6,90
"2016-07-03 02:00:00.0",22.6,90
"2016-07-03 02:05:00.0",23.4,90
"2016-07-03 02:10:00.0",22.7,90
"2016-07-03 02:15:00.0",23.8,90
"2016-07-03 02:20:00.0",23.3,90
"2016-07-03 02:25:00.0",25.6,90
"2016-07-03 02:30:00.0",22.3,90
"2016-07-03 02:35:00.0",23.4,90
"2016-07-03 02:40:00.0",25.6,90
"2016-07-03 02:45:00.0",23,90
"2016-07-03 02:50:00.0",21.8,90
"2016-07-03 02:55:00.0",21.8,90
"2016-07-03 03:00:00.0",22.8,90
"2016-07-03 03:05:00.0",23.2,90
"2016-07-03 03:10:00.0",23.7,90
"2016-07-03 03:15:00.0",22.9,90
"2016-07-03 03:20:00.0",23.2,90
"2016-07-03 03:25:00.0",25,90
"2016-07-03 03:30:00.0",22.9,90
"2016-07-03 03:35:00.0",23.1,90
"2016-07-03 03:40:00.0",24.8,90
"2016-07-03 03:45:00.0",23.3,90
"2016-07-03 03:50:00.0",24.4,90
"2016-07-03 03:55:00.0",22.2,90
"2016-07-03 04:00:00.0",23.4,90
